id;Time;Post1;Post2;Difference;Frequency;Amplitude;Duration
1942225;1571816156221;4;2;-8962.90;9356.71;2.24;5.09
1942226;1571816156221;4;1;17043.68;9356.71;2.24;5.09
1942227;1571816156221;2;1;26006.15;9356.74;16.46;4.84
1942228;1571816156233;4;2;-8881.96;9356.66;11.82;5.46
1942229;1571816156233;4;1;16968.73;9356.66;11.82;5.46
1942230;1571816156233;2;1;25850.26;9356.68;3.58;5.36
1942232;1571816156233;4;1;16959.73;9356.64;9.25;5.58
1942235;1571816156245;4;1;16977.72;9356.68;5.40;5.42
1942240;1571816156245;4;2;-8866.97;9356.73;2.63;5.12
1942241;1571816156245;4;1;16974.72;9356.73;2.63;5.12
1942242;1571816156245;2;1;25841.27;9356.66;19.30;5.40
1942302;1571816156437;4;2;-8854.98;9356.74;2.87;5.22
1942305;1571816156437;4;2;-8878.96;9356.70;3.12;5.21
1942559;1571816157013;2;1;25973.18;9356.68;15.08;4.70
1942562;1571816157013;2;1;25886.24;9356.73;15.08;4.84
1943005;1571816157973;4;2;-8872.96;9356.68;2.11;5.17
1943011;1571816157973;4;2;-8863.97;9356.66;2.11;5.18
1943047;1571816158069;4;2;-8872.96;9356.70;1.97;5.06
1943054;1571816158069;4;2;-8866.97;9356.67;2.24;4.92
1943081;1571816158165;4;2;-8735.06;9356.65;0.81;4.70
1943082;1571816158165;4;1;17100.64;9356.65;0.81;4.70
1943083;1571816158165;2;1;25835.27;9356.69;17.16;5.30
1943103;1571816158261;2;1;25868.25;9356.73;15.37;4.91
1943109;1571816158261;2;1;25943.20;9356.69;15.22;4.96
1943473;1571816158933;2;1;26021.14;9356.70;14.62;4.16
1943476;1571816158933;2;1;25991.16;9356.71;14.62;4.73
1943598;1571816159125;2;1;25943.20;9356.67;13.98;2.89
1943819;1571816159509;2;1;26210.01;9356.66;14.14;3.51
1943870;1571816159605;2;3;8454.15;9356.71;13.98;1.77
1943871;1571816159605;2;1;25961.18;9356.71;13.98;1.77
1943909;1571816159677;2;1;26015.15;9356.71;15.73;4.61
1943910;1571816159677;2;1;25988.17;9356.76;15.84;4.81
1943912;1571816159689;4;2;-8875.96;9356.67;11.64;5.42
1943913;1571816159689;4;1;16971.73;9356.67;11.64;5.42
1943914;1571816159689;2;1;25847.26;9356.60;8.19;5.59
1943915;1571816159689;4;2;-8872.96;9356.69;12.42;5.50
1943916;1571816159689;4;1;16971.73;9356.69;12.42;5.50
1943917;1571816159689;2;1;25844.27;9356.56;9.66;5.66
1943920;1571816159701;4;2;-8878.96;9356.60;15.13;5.66
1943921;1571816159701;4;1;16968.73;9356.60;15.13;5.66
1943922;1571816159701;2;1;25847.26;9356.61;33.24;5.58
1943931;1571816159701;4;2;-8878.96;9356.57;14.85;5.68
1943932;1571816159701;4;1;16971.73;9356.57;14.85;5.68
1943933;1571816159701;2;1;25850.26;9356.61;33.79;5.61
1943934;1571816159713;4;2;-8872.96;9356.69;7.36;5.51
1943939;1571816159713;4;2;-8866.97;9356.66;5.22;5.51
1943940;1571816159713;4;1;16968.73;9356.66;5.22;5.51
1943941;1571816159713;2;1;25835.27;9356.61;27.28;5.62
1943973;1571816159761;2;1;26632.72;9356.74;14.62;3.10
1943974;1571816159761;2;1;26536.79;9356.73;15.22;2.83
1943975;1571816159773;2;1;25958.19;9356.70;17.61;5.05
1943976;1571816159773;2;1;25958.19;9356.70;17.81;5.10
1943980;1571816159785;4;1;16983.72;9356.61;4.30;5.46
1943983;1571816159785;4;1;16977.72;9356.69;4.61;5.39
1943993;1571816159797;4;2;-8878.96;9356.67;6.52;5.50
1943994;1571816159797;4;1;16977.72;9356.67;6.52;5.50
1943995;1571816159797;2;1;25856.26;9356.70;20.00;5.40
1943998;1571816159797;4;2;-8875.96;9356.63;6.11;5.55
1943999;1571816159797;4;1;16971.73;9356.63;6.11;5.55
1944000;1571816159797;2;1;25847.26;9356.64;20.18;5.57
1944001;1571816159809;4;2;-8839.99;9356.80;1.12;4.65
1944095;1571816159989;4;2;-8848.98;9356.72;1.84;5.08
1944096;1571816159989;4;1;17004.70;9356.72;1.84;5.08
1944097;1571816159989;2;1;25853.26;9356.68;19.21;5.46
1944098;1571816159989;4;2;-8857.97;9356.77;1.56;5.14
1944099;1571816159989;4;1;16995.71;9356.77;1.56;5.14
1944100;1571816159989;2;1;25853.26;9356.66;18.94;5.43
1944139;1571816160085;4;2;-8872.96;9356.68;0.81;4.86
1944140;1571816160085;4;1;16980.72;9356.68;0.81;4.86
1944141;1571816160085;2;1;25853.26;9356.72;17.04;5.15
1944149;1571816160085;4;2;-8851.98;9356.79;0.33;1.85
1944150;1571816160085;4;1;16998.71;9356.79;0.33;1.85
1944151;1571816160085;2;1;25850.26;9356.70;16.44;5.28
1945553;1571816163733;4;2;-8866.97;9356.73;1.70;5.15
1945554;1571816163733;4;1;16992.71;9356.73;1.70;5.15
1945555;1571816163733;2;1;25859.25;9356.66;18.65;5.39
1945559;1571816163733;4;2;-8708.08;9356.73;1.56;4.36
1945560;1571816163733;4;1;17142.61;9356.73;1.56;4.36
1945561;1571816163733;2;1;25850.26;9356.60;18.94;5.55
1945597;1571816163913;4;1;16983.72;9356.69;4.91;5.37
1945599;1571816163913;4;2;-8887.95;9356.59;6.11;5.63
1945600;1571816163913;4;1;16974.72;9356.59;6.11;5.63
1945601;1571816163913;2;1;25862.25;9356.72;1.84;5.04
1945613;1571816163925;4;2;-8872.96;9356.58;10.51;5.67
1945614;1571816163925;4;1;16971.73;9356.58;10.51;5.67
1945615;1571816163925;2;1;25844.27;9356.49;24.07;5.73
1945620;1571816163925;4;2;-8866.97;9356.70;11.47;5.41
1945621;1571816163925;4;1;16986.72;9356.70;11.47;5.41
1945622;1571816163925;2;1;25853.26;9356.55;24.07;5.69
1945623;1571816163937;4;2;-8869.97;9356.68;4.23;5.47
1945624;1571816163937;4;1;16983.72;9356.68;4.23;5.47
1945625;1571816163937;2;1;25853.26;9356.63;22.28;5.60
1945632;1571816163937;4;2;-8869.97;9356.70;3.69;5.43
1945633;1571816163937;4;1;16980.72;9356.70;3.69;5.43
1945634;1571816163937;2;1;25850.26;9356.68;20.66;5.51
1945652;1571816163997;4;1;16989.71;9356.67;5.67;5.31
1945653;1571816163997;4;1;16992.71;9356.71;3.58;5.34
1945654;1571816164009;4;2;-8962.90;9356.64;10.78;5.44
1945655;1571816164009;4;1;16980.72;9356.64;10.78;5.44
1945656;1571816164009;2;1;25943.20;9356.73;15.92;4.88
1945658;1571816164009;4;2;-8971.90;9356.45;10.21;5.76
1945659;1571816164009;4;1;16971.73;9356.45;10.21;5.76
1945660;1571816164009;2;1;25943.20;9356.69;16.44;5.03
1945668;1571816164021;4;2;-8875.96;9356.62;12.13;5.53
1945669;1571816164021;4;1;16980.72;9356.62;12.13;5.53
1945670;1571816164021;2;1;25856.26;9356.67;26.68;5.50
1945676;1571816164021;4;2;-8878.96;9356.68;11.60;5.49
1945677;1571816164021;4;1;16977.72;9356.68;11.60;5.49
1945678;1571816164021;2;1;25856.26;9356.65;25.33;5.44
1945682;1571816164033;4;2;-8860.97;9356.72;2.75;5.26
1945683;1571816164033;4;1;16896.78;9356.72;2.75;5.26
1945684;1571816164033;2;1;25757.33;9356.64;20.00;5.51
1945686;1571816164033;4;2;-8860.97;9356.71;1.97;4.87
