id;PoiteId;Time;Post1;Post2;Difference;Frequency;Amplitude;Duration;Latitude;Longitude;Altitude;FilterId
3754400;2425789;1632129536344;4;2;3909.29292910088;436760.0;26.8130250575845;13.25;29.0210600548035;30.2747166509268;0.0;0
3754406;2425793;1632129536398;2;1;-9830.30595641347;435937.0;29.9793317574985;12.93;28.698416416282;30.0781764483478;0.0;58049
3754407;2425793;1632129536398;2;3;-12271.7759431962;435937.0;29.9793317574985;12.93;28.698416416282;30.0781764483478;0.0;58049
3754410;2425795;1632129536402;2;1;-9830.30595641347;435557.0;29.5905464897108;12.88;28.698416416282;30.0781764483478;0.0;58049
3754411;2425795;1632129536402;2;3;-12271.7759431962;435557.0;29.5905464897108;12.88;28.698416416282;30.0781764483478;0.0;58049
3754416;2425798;1632129536405;2;3;-12271.7759431962;435390.0;29.0896377850898;12.59;29.4498424682002;30.5098743840842;0.0;58049
3754417;2425798;1632129536405;2;1;-9728.37653955041;435390.0;29.0896377850898;12.59;29.4498424682002;30.5098743840842;0.0;58049
3754418;2425799;1632129536409;2;1;-7312.04977509082;437089.0;28.0247275460253;13.38;;;;58049
3754419;2425799;1632129536409;2;3;-12271.7759431962;437089.0;28.0247275460253;13.38;;;;58049
3754421;2425801;1632129536413;2;1;-9836.30180446424;437105.0;27.5089173582751;13.34;28.5866412149515;30.0147565399043;0.0;58049
3754422;2425801;1632129536413;2;3;-12271.7759431962;437105.0;27.5089173582751;13.34;28.5866412149515;30.0147565399043;0.0;58049
3754424;2425803;1632129536416;2;3;-12271.7759431962;437088.0;27.0528369200778;13.3;28.5866412149515;30.0147565399043;0.0;58049
3754425;2425803;1632129536416;2;1;-9836.30180446424;437088.0;27.0528369200778;13.3;28.5866412149515;30.0147565399043;0.0;58049
3756817;2427260;1632129546120;4;1;-5810.3265315001;435429.0;28.0823715233644;12.18;;;;0
3756824;2427264;1632129546174;4;3;-8296.53084445749;437162.0;31.228842808394;12.92;28.8300775733764;30.1437997322184;0.0;0
3756825;2427264;1632129546174;4;1;-5903.262176287;437162.0;31.228842808394;12.92;28.8300775733764;30.1437997322184;0.0;0
3756826;2427264;1632129546174;4;2;3906.29500507549;437162.0;31.228842808394;12.92;28.8300775733764;30.1437997322184;0.0;0
3756840;2427275;1632129546278;4;2;3885.3095368978;436524.0;37.0627276367532;13.02;;;;0
3756856;2427286;1632129546329;2;1;-9836.30180446424;437117.0;33.9067143936185;13.26;;;;0
3756875;2427298;1632129546382;4;2;3903.29708105011;436867.0;23.4765860703161;12.74;29.4054287396515;30.5053650359675;0.0;0
3756876;2427298;1632129546382;2;1;-9824.3101083627;437098.0;31.9214643604287;13.2;29.4054287396515;30.5053650359675;0.0;58049
3756877;2427298;1632129546382;4;1;-5891.27048018547;436867.0;23.4765860703161;12.74;29.4054287396515;30.5053650359675;0.0;0
3756878;2427299;1632129546386;2;1;-9827.30803238809;437036.0;31.6174138451605;13.17;;;;58049
3756879;2427300;1632129546390;2;1;-9827.30803238809;437044.0;31.2854286087713;13.15;;;;58049
3756880;2427301;1632129546393;2;1;-9824.3101083627;436567.0;31.1547258077766;13.08;;;;58049
3756881;2427302;1632129546397;2;1;-9827.30803238809;436532.0;30.7803264780024;13.07;;;;58049
3756882;2427303;1632129546400;2;1;-9824.3101083627;436267.0;30.5685388089829;13.01;;;;58049
3759432;2428819;1632129556104;4;1;-5897.26632823624;437031.0;26.705863990683;13.11;29.4169722734568;30.5105282803944;0.0;0
3759433;2428819;1632129556104;2;1;-9818.31426031193;436864.0;25.2252573758499;13.04;29.4169722734568;30.5105282803944;0.0;0
3759434;2428819;1632129556104;4;2;3891.30538494857;437031.0;26.705863990683;13.11;29.4169722734568;30.5105282803944;0.0;0
3759435;2428820;1632129556108;2;1;-9815.31633628655;437048.0;25.6697936735608;13.07;;;;0
3759455;2428833;1632129556158;4;2;3900.29915702472;437178.0;30.6825009090657;12.91;28.8936406335212;30.1797498542264;0.0;0
3759456;2428833;1632129556158;4;1;-5903.262176287;437178.0;30.6825009090657;12.91;28.8936406335212;30.1797498542264;0.0;0
3759457;2428833;1632129556158;4;3;-8296.53084445749;437178.0;30.6825009090657;12.91;28.8936406335212;30.1797498542264;0.0;0
3759461;2428835;1632129556162;2;3;-12166.8486023077;437086.0;31.6282644270064;13.23;28.1021485394308;29.7198233148989;0.0;58049
3759462;2428835;1632129556162;2;1;-9836.30180446424;437086.0;31.6282644270064;13.23;28.1021485394308;29.7198233148989;0.0;58049
3759463;2428836;1632129556165;2;3;-12166.8486023077;437095.0;31.8846930763201;13.23;27.8620491005042;29.5831096110977;0.0;58049
3759464;2428836;1632129556165;2;1;-9842.29765251501;437095.0;31.8846930763201;13.23;27.8620491005042;29.5831096110977;0.0;58049
3759519;2428870;1632129556262;2;3;-12142.8652101047;436332.0;29.6893075892011;12.8;;;;58049
3759520;2428871;1632129556266;2;3;-12145.86313413;436314.0;29.9565868203607;12.75;;;;58049
3759524;2428874;1632129556313;2;1;-9833.30388043885;437114.0;33.4226851524987;13.29;;;;0
3759552;2428889;1632129556366;2;1;-9821.31218433732;437098.0;32.036028114803;13.22;29.4204317755904;30.5140193739853;0.0;58049
3759553;2428889;1632129556366;4;2;3900.29915702472;437112.0;24.3530965076305;12.86;29.4204317755904;30.5140193739853;0.0;0
3759554;2428889;1632129556366;4;1;-5891.27048018547;437112.0;24.3530965076305;12.86;29.4204317755904;30.5140193739853;0.0;0
3759558;2428892;1632129556370;2;1;-9821.31218433732;437090.0;31.7627652507792;13.2;28.4275413315386;29.9023144303618;0.0;58049
3759559;2428892;1632129556370;2;3;-12144.3641721173;437090.0;31.7627652507792;13.2;28.4275413315386;29.9023144303618;0.0;58049
3759560;2428893;1632129556374;2;3;-12144.3641721173;437048.0;31.4916480586201;13.18;28.4275413315386;29.9023144303618;0.0;58049
3759561;2428893;1632129556374;2;1;-9821.31218433732;437048.0;31.4916480586201;13.18;28.4275413315386;29.9023144303618;0.0;58049
3759564;2428895;1632129556377;2;3;-12144.3641721173;437034.0;31.1890122587628;13.14;28.4970827375504;29.9425050972805;0.0;58049
3759565;2428895;1632129556377;2;1;-9818.31426031193;437034.0;31.1890122587628;13.14;28.4970827375504;29.9425050972805;0.0;58049
3759573;2428900;1632129556381;2;1;-9821.31218433732;437040.0;30.8399007145482;13.11;28.4275413315386;29.9023144303618;0.0;58049
3759574;2428900;1632129556381;2;3;-12144.3641721173;437040.0;30.8399007145482;13.11;28.4275413315386;29.9023144303618;0.0;58049
3762364;2430541;1632129566142;4;2;3990.23687778625;435497.0;27.7394709489773;12.09;28.9852918939883;30.23429408697;0.0;0
3762365;2430541;1632129566142;4;1;-5807.32860747471;435497.0;27.7394709489773;12.09;28.9852918939883;30.23429408697;0.0;0
3762366;2430541;1632129566142;4;3;-8218.5848197975;435497.0;27.7394709489773;12.09;28.9852918939883;30.23429408697;0.0;0
3762396;2430563;1632129566297;2;1;-9767.3495518804;435485.0;35.4354230749174;12.59;;;;0
3762403;2430568;1632129566351;2;1;-9812.31841226116;435679.0;35.6726275930245;12.97;;;;58049
3762405;2430570;1632129566354;2;1;-9809.32048823578;435662.0;35.5319484463004;12.96;;;;58049
3762406;2430571;1632129566358;2;1;-9806.3225642104;435653.0;35.3994965192679;12.94;;;;58049
3762407;2430572;1632129566361;2;1;-9806.3225642104;435629.0;35.2041401225371;12.92;;;;58049
3765502;2432210;1632129576126;4;1;-5930.24349251546;437189.0;25.1678938622932;12.85;;;;0
3765526;2432229;1632129576231;2;3;-12271.7759431962;437096.0;27.1640110360072;13.29;;;;58049
3765527;2432230;1632129576234;2;3;-12274.7738672216;437120.0;27.3825905028064;13.31;;;;58049
3765528;2432231;1632129576238;2;3;-12268.7780191708;437116.0;27.4084542131465;13.23;;;;58049
3765529;2432232;1632129576241;2;3;-12265.7800951454;437096.0;27.7956800810825;13.31;;;;58049
3765537;2432236;1632129576281;2;1;-9752.35993175348;435466.0;35.490339314571;12.61;;;;0
